---------------------------------------------------------------------
Epoch 1/1
---------------------------------------------------------------------
| step 100/2628 | acc -1.00 | loss 1.95 | kl 7115.37 | elbo 3221.99 | 2420 sents/sec |
| step 200/2628 | acc -1.00 | loss 1.67 | kl 11396.78 | elbo 41.72 | 2122 sents/sec |
| step 300/2628 | acc -1.00 | loss 1.52 | kl 9275.70 | elbo 41.54 | 2411 sents/sec |
| step 400/2628 | acc -1.00 | loss 1.47 | kl 9257.58 | elbo 41.47 | 3287 sents/sec |
| step 500/2628 | acc -1.00 | loss 1.48 | kl 11433.94 | elbo 41.56 | 2555 sents/sec |
| step 600/2628 | acc -1.00 | loss 1.47 | kl 755.87 | elbo 42.40 | 3069 sents/sec |
| step 700/2628 | acc -1.00 | loss 1.38 | kl 106.52 | elbo 41.54 | 2818 sents/sec |
| step 800/2628 | acc -1.00 | loss 1.27 | kl 87.69 | elbo 41.35 | 2669 sents/sec |
| step 900/2628 | acc -1.00 | loss 1.23 | kl 64.02 | elbo 41.24 | 3090 sents/sec |
| step 1000/2628 | acc -1.00 | loss 1.23 | kl 61.19 | elbo 41.25 | 2852 sents/sec |
| step 1100/2628 | acc -1.00 | loss 1.19 | kl 43.30 | elbo 41.39 | 3287 sents/sec |
| step 1200/2628 | acc -1.00 | loss 1.14 | kl 30.51 | elbo 41.13 | 3081 sents/sec |
| step 1300/2628 | acc -1.00 | loss 1.13 | kl 26.24 | elbo 41.14 | 2970 sents/sec |
| step 1400/2628 | acc -1.00 | loss 1.11 | kl 23.58 | elbo 41.08 | 2487 sents/sec |
| step 1500/2628 | acc -1.00 | loss 1.11 | kl 22.11 | elbo 41.12 | 2503 sents/sec |
| step 1600/2628 | acc -1.00 | loss 1.10 | kl 16.69 | elbo 41.08 | 3179 sents/sec |
| step 1700/2628 | acc -1.00 | loss 1.11 | kl 15.77 | elbo 41.11 | 2926 sents/sec |
| step 1800/2628 | acc -1.00 | loss 1.09 | kl 12.48 | elbo 41.02 | 2912 sents/sec |
| step 1900/2628 | acc -1.00 | loss 1.12 | kl 11.94 | elbo 41.09 | 2142 sents/sec |
| step 2000/2628 | acc -1.00 | loss 1.11 | kl 11.75 | elbo 41.06 | 2905 sents/sec |
| step 2100/2628 | acc -1.00 | loss 1.07 | kl 9.06 | elbo 41.02 | 3059 sents/sec |
| step 2200/2628 | acc -1.00 | loss 1.11 | kl 7.94 | elbo 41.03 | 2950 sents/sec |
| step 2300/2628 | acc -1.00 | loss 1.05 | kl 7.30 | elbo 41.05 | 3336 sents/sec |
| step 2400/2628 | acc -1.00 | loss 1.11 | kl 7.31 | elbo 41.04 | 3095 sents/sec |
| step 2500/2628 | acc -1.00 | loss 1.08 | kl 6.36 | elbo 41.02 | 3039 sents/sec |
| step 2600/2628 | acc -1.00 | loss 1.06 | kl 6.30 | elbo 40.98 | 3092 sents/sec |
